,time,status,model_name,model_type
2,1900-01-01 00:02:00,True,percentage_reversed-rule_based,rule_based
3,1900-01-01 00:03:00,True,percentage_reversed-rule_based,rule_based
4,1900-01-01 00:04:00,True,percentage_reversed-rule_based,rule_based
5,1900-01-01 00:05:00,True,percentage_reversed-rule_based,rule_based
6,1900-01-01 00:06:00,True,percentage_reversed-rule_based,rule_based
7,1900-01-01 00:07:00,True,percentage_reversed-rule_based,rule_based
8,1900-01-01 00:08:00,True,percentage_reversed-rule_based,rule_based
9,1900-01-01 00:09:00,True,percentage_reversed-rule_based,rule_based
10,1900-01-01 00:10:00,True,percentage_reversed-rule_based,rule_based
11,1900-01-01 00:11:00,True,percentage_reversed-rule_based,rule_based
12,1900-01-01 00:12:00,True,percentage_reversed-rule_based,rule_based
13,1900-01-01 00:15:00,True,percentage_reversed-rule_based,rule_based
14,1900-01-01 00:16:00,True,percentage_reversed-rule_based,rule_based
15,1900-01-01 00:17:00,True,percentage_reversed-rule_based,rule_based
16,1900-01-01 00:21:00,True,percentage_reversed-rule_based,rule_based
17,1900-01-01 00:25:00,True,percentage_reversed-rule_based,rule_based
18,1900-01-01 00:36:00,True,percentage_reversed-rule_based,rule_based
19,1900-01-01 01:41:00,True,percentage_reversed-rule_based,rule_based
20,1900-01-01 01:42:00,True,percentage_reversed-rule_based,rule_based
21,1900-01-01 01:43:00,True,percentage_reversed-rule_based,rule_based
22,1900-01-01 01:44:00,True,percentage_reversed-rule_based,rule_based
23,1900-01-01 01:46:00,True,percentage_reversed-rule_based,rule_based
24,1900-01-01 02:11:00,True,percentage_reversed-rule_based,rule_based
25,1900-01-01 03:34:00,True,percentage_reversed-rule_based,rule_based
26,1900-01-01 03:44:00,True,percentage_reversed-rule_based,rule_based
27,1900-01-01 03:50:00,True,percentage_reversed-rule_based,rule_based
28,1900-01-01 05:44:00,True,percentage_reversed-rule_based,rule_based
29,1900-01-01 05:49:00,True,percentage_reversed-rule_based,rule_based
30,1900-01-01 05:51:00,True,percentage_reversed-rule_based,rule_based
31,1900-01-01 05:53:00,True,percentage_reversed-rule_based,rule_based
32,1900-01-01 05:55:00,True,percentage_reversed-rule_based,rule_based
33,1900-01-01 05:57:00,True,percentage_reversed-rule_based,rule_based
34,1900-01-01 06:03:00,True,percentage_reversed-rule_based,rule_based
35,1900-01-01 06:20:00,True,percentage_reversed-rule_based,rule_based
36,1900-01-01 06:27:00,True,percentage_reversed-rule_based,rule_based
37,1900-01-01 06:36:00,True,percentage_reversed-rule_based,rule_based
38,1900-01-01 06:42:00,True,percentage_reversed-rule_based,rule_based
39,1900-01-01 06:46:00,True,percentage_reversed-rule_based,rule_based
40,1900-01-01 06:48:00,True,percentage_reversed-rule_based,rule_based
41,1900-01-01 06:51:00,True,percentage_reversed-rule_based,rule_based
0,1900-01-01 00:00:00,True,sucess_rate-rule_based,rule_based
1,1900-01-01 00:01:00,True,sucess_rate-rule_based,rule_based
2,1900-01-01 00:02:00,True,sucess_rate-rule_based,rule_based
3,1900-01-01 00:03:00,True,sucess_rate-rule_based,rule_based
4,1900-01-01 00:04:00,True,sucess_rate-rule_based,rule_based
